apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/2f163719-bea7-5140-929b-ad296ab5a586,ev-2f163719-bea7-5140-929b-ad296ab5a586,"Attraktives 3-FH mit Garagen in zentraler Lage - Erbpacht",,,"Kaiserslautern","Rheinland-Pfalz",,,239000,,160,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/4f4698bb-9c84-576e-b6cc-4141ce226acf,ev-4f4698bb-9c84-576e-b6cc-4141ce226acf,"Aufteilungsgeeignetes Mehrfamilienhaus mit möglicher Sonder-AfA",,,"Merseburg","Sachsen-Anhalt",,,815000,,815,,2026-06-28,"E&V Kapitalanlage/investment listing"
other,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f04d4d49-edba-5d04-b988-0d12c07c6722,ev-f04d4d49-edba-5d04-b988-0d12c07c6722,"Mehrfamilienhaus mit Tiefgarage und Stellplätzen",,,"Pinneberg","Schleswig-Holstein",,,10400000,,4653,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/a6bbfa83-a713-5268-b7b3-37d0154df053,ev-a6bbfa83-a713-5268-b7b3-37d0154df053,"Sicher investieren: Stabile Erträge und zwei starke Mieter an Bord",,,"Otterndorf","Niedersachsen",,,,,116,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/8e0a0eb9-a978-58b9-baa4-3c5685780da6,ev-8e0a0eb9-a978-58b9-baa4-3c5685780da6,"Das ""Flat Iron"" von Wiesbaden",,,"Wiesbaden","Hessen",,,6000000,,452,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/2e6fd79a-8bbc-5ed0-b862-e5243a7392bf,ev-2e6fd79a-8bbc-5ed0-b862-e5243a7392bf,"Einzelkulturdenkmal - Rheingauviertel - Faktor 17,95",,,"Wiesbaden","Hessen",,,7500000,,1900,,2026-06-28,"E&V Kapitalanlage/investment listing"
other,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/65e7de6b-b1d8-536b-9ff7-a375ab819743,ev-65e7de6b-b1d8-536b-9ff7-a375ab819743,"Attraktives Mehrfamilienhaus mit großem Grundstück und Lagerhalle",,,"Mülsen","Sachsen",,,315000,,342,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/67a66dd8-e0b7-5b53-aa55-5da9565035b0,ev-67a66dd8-e0b7-5b53-aa55-5da9565035b0,"Mehrfamilienhaus mit Entwicklungspotenzial in zentraler Lage",,,"Zwickau","Sachsen",,,225000,,288,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f2376a09-987d-5477-9eda-0671981fea08,ev-f2376a09-987d-5477-9eda-0671981fea08,"Vielseitig nutzbarer Landgasthof mit Wohnungen",,,"Ravensburg","Baden-Württemberg",,,1450000,,449,,2026-06-28,"E&V Kapitalanlage/investment listing"
office,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f5aabd22-7dcb-5b06-9d23-22d20dc04511,ev-f5aabd22-7dcb-5b06-9d23-22d20dc04511,"Bürogebäude mit Entwicklungsmöglichkeiten nahe Mainz",,,"Ginsheim-Gustavsburg","Hessen",,,8000000,,6088,,2026-06-28,"E&V Kapitalanlage/investment listing"
