asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/neues-highlight-im-gallusviertel-8270161/,AEN-8270161,Neues Highlight im Gallusviertel,Gallus,60326,Frankfurt am Main,Hessen,14.5,14.5,,19861,19861,,2026-07-02,"geo:50.09936,8.63705;MODEL:prime"
retail,lease,Aengevelt,https://www.aengevelt.com/immobilie/ladengeschaeft-mit-vielseitigen-nutzungsmoeglichkeiten-in-spandauer-toplage-8270359/,AEN-8270359,Ladengeschäft mit vielseitigen Nutzungsmöglichkeiten in Spandauer Toplage,,13597,Berlin,Berlin,62.5,62.5,,140,140,,2026-07-02,"geo:52.53777,13.20429;MODEL:context"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/moderne-bueroflaechen-mit-hervorragender-ausstattung-8270423/,AEN-8270423,Moderne Büroflächen mit hervorragender Ausstattung,Ostend,60314,Frankfurt am Main,Hessen,,,,1480,1480,,2026-07-02,"geo:50.11228,8.71722;POR;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/attraktiver-standort-im-gewerbegebiet-neu-isenburgs-8270480/,AEN-8270480,Attraktiver Standort im Gewerbegebiet Neu-Isenburgs,,63263,Neu-Isenburg,Hessen,15,15,,755,755,,2026-07-02,"geo:50.04390,8.69224;MODEL:qualify"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/nachhaltig-konziptierte-multi-use-flaechen-direkt-am-tiergarten-8270540/,AEN-8270540,Nachhaltig konziptierte Multi-Use Flächen direkt am Tiergarten,Tiergarten,10785,Berlin,Berlin,,,,21494,21494,,2026-07-02,"geo:52.50563,13.35485;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/im-herzen-von-berlin-erstbezug-in-vollausgestattetes-buerogebaeude-8270939/,AEN-8270939,Im Herzen von Berlin - Erstbezug in vollausgestattetes Bürogebäude,Kreuzberg,10969,Berlin,Berlin,,,,4230,4230,,2026-07-02,"geo:52.50040,13.39598;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/bueroflaechen-in-darmstadt-8271777/,AEN-8271777,Büroflächen in Darmstadt,,64293,Darmstadt,Hessen,14,14,,11068,11068,,2026-07-02,"geo:49.88264,8.64030;MODEL:prime"
mixed_use,sale,Aengevelt,https://www.aengevelt.com/immobilie/im-alleinauftrag-gewerbeliegenschaft-mit-buerogebaeude-und-warmhalle-vor-den-toren-der-landeshauptstadt-8267354/,AEN-8267354,Im Alleinauftrag: Gewerbeliegenschaft mit Bürogebäude und Warmhalle vor den Toren der Landeshauptstadt,,39175,Biederitz,Sachsen-Anhalt,,,875000,1545,1545,,2026-07-02,"geo:52.15520,11.73463;MODEL:prime"
industrial_hall,lease,Aengevelt,https://www.aengevelt.com/immobilie/nachhaltige-hallen-und-bueroflaechen-im-unternehmer-park-viersen-8267546/,AEN-8267546,"Nachhaltige Hallen- und Büroflächen im ""Unternehmer Park Viersen""",Dülken,41751,Viersen,Nordrhein-Westfalen,8.2,8.2,,6610,6610,,2026-07-02,"geo:51.26034,6.33431;MODEL:context"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/markantes-buerogebaeude-in-top-lage-8268087/,AEN-8268087,Markantes Bürogebäude in Top-Lage,City-West,60486,Frankfurt am Main,Hessen,,,,6616,6616,,2026-07-02,"geo:50.11575,8.63245;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/hochwertige-bueroflaechen-im-platz-der-zukunft-zur-untermiete-8268367/,AEN-8268367,"Hochwertige Büroflächen im ""Platz der Zukunft"" zur Untermiete",Seestern,40549,Düsseldorf,Nordrhein-Westfalen,,,,5118,5118,,2026-07-02,"geo:51.23540,6.73240;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/moderne-klimatisierte-bueroflaechen-8268742/,AEN-8268742,"Moderne, klimatisierte Büroflächen",,65428,Rüsselsheim,Hessen,,,,6596,6596,,2026-07-02,"geo:49.98589,8.40964;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/plagwitzer-hoefe-bueroflaeche-in-historischen-gewerbehoefen-in-plagwitz-8268810/,AEN-8268810,Plagwitzer Höfe: Bürofläche in historischen Gewerbehöfen in Plagwitz,Plagwitz,04229,Leipzig,Sachsen,13,13,,1016,1016,,2026-07-02,"geo:51.32635,12.33025;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/ihr-neues-headquarter-in-duesseldorf-grafenberg-8267023/,AEN-8267023,Ihr neues Headquarter in Düsseldorf-Grafenberg,Flingern-Nord,40235,Düsseldorf,Nordrhein-Westfalen,,,,38384,38384,,2026-07-02,"geo:51.23448,6.82565;POR;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/seed-ihr-standort-fuer-innovative-arbeitswelten-8267155/,AEN-8267155,SEED - Ihr Standort für innovative Arbeitswelten!,Europaviertel,60486,Frankfurt am Main,Hessen,,,,11789,11789,,2026-07-02,"geo:50.10832,8.63518;POR;MODEL:prime"
apartment_building,sale,Aengevelt,https://www.aengevelt.com/immobilie/vollvermietete-wohnanlage-in-reinickendorf-mit-ausbaupotenzial-8266053/,AEN-8266053,Vollvermietete Wohnanlage in Reinickendorf mit Ausbaupotenzial,Reinickendorf,13403,Berlin,Berlin,,,3200000,1388,1388,,2026-07-02,"geo:52.56954,13.32164;MODEL:prime"
