asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1239,jll-D1239,"Office property — Düsseldorf, Heerdt (D1239)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,8.88,10,,128,2450,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1702,jll-D1702,"Office property — Düsseldorf, Düsseltal (D1702)",Düsseltal,40470,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,,598,1196,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0447,jll-D0447,"Office property — Düsseldorf, Unterrath (D0447)",Unterrath,40472,Düsseldorf,Nordrhein-Westfalen,14.5,14.5,,620,1466,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3264,jll-D3264,"Office property — Düsseldorf, Rath (D3264)",Rath,40472,Düsseldorf,Nordrhein-Westfalen,10,10,,390,1567,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0824,jll-D0824,"Office property — Düsseldorf, Lörick (D0824)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,10.5,13.5,,440,7965,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0096,jll-D0096,"Office property — Düsseldorf, City center (D0096)",City center,40211,Düsseldorf,Nordrhein-Westfalen,14,14,,452,6284,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0494,jll-D0494,"Office property — Düsseldorf, Heerdt (D0494)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,12.9,12.9,,258,1417,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0159,jll-D0159,"Office property — Düsseldorf, Mörsenbroich (D0159)",Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.9,10.9,,100,4516,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0195,jll-D0195,"Office property — Düsseldorf, Unterrath (D0195)",Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,8.5,13.5,,360,10847,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0540,jll-D0540,"Office property — Düsseldorf, Lichtenbroich (D0540)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,10,11,,120,2804,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0655,jll-D0655,"Office property — Düsseldorf, Holthausen (D0655)",Holthausen,40589,Düsseldorf,Nordrhein-Westfalen,11.8,15,,130,2727,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0825,jll-D0825,"Office property — Düsseldorf, Lörick (D0825)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,12,12,,169,2256,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d2198,jll-D2198,"Office property — Düsseldorf, Heerdt (D2198)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,6.7,14,,149,2361,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d2492,jll-D2492,"Office property — Düsseldorf, Lichtenbroich (D2492)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,6.5,6.5,,176,5965,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1339,jll-D1339,"Office property — Düsseldorf, Hassels (D1339)",Hassels,40599,Düsseldorf,Nordrhein-Westfalen,11,11.5,,377,1725,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0506,jll-D0506,"Office property — Düsseldorf, Lörick (D0506)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,9.9,14,,393,3196,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3333,jll-D3333,"Office property — Düsseldorf, Lierenfeld (D3333)",Lierenfeld,40231,Düsseldorf,Nordrhein-Westfalen,15,15,,320,2240,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d2216,jll-D2216,"Office property — Düsseldorf, Mörsenbroich (D2216)",Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.5,14.5,,85,4965,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0168,jll-D0168,"Office property — Düsseldorf, Golzheim (D0168)",Golzheim,40474,Düsseldorf,Nordrhein-Westfalen,14.5,14.5,,416,4294,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0507,jll-D0507,"Office property — Düsseldorf, Heerdt (D0507)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,,165,1867,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3311,jll-D3311,"Office property — Düsseldorf, Unterrath (D3311)",Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,14.5,14.5,,500,1500,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0448,jll-D0448,"Office property — Düsseldorf, Unterrath (D0448)",Unterrath,40468,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,,560,6243,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0674,jll-D0674,"Office property — Düsseldorf, Rath (D0674)",Rath,40472,Düsseldorf,Nordrhein-Westfalen,13.5,14.5,,373,4404,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1627,jll-D1627,"Office property — Düsseldorf, Düsseltal (D1627)",Düsseltal,40237,Düsseldorf,Nordrhein-Westfalen,14,14,,236,1337,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0151,jll-D0151,"Office property — Düsseldorf, Flingern Nord (D0151)",Flingern Nord,40237,Düsseldorf,Nordrhein-Westfalen,13,14.9,,207,3173,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0446,jll-D0446,"Office property — Düsseldorf, Lichtenbroich (D0446)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,10.5,11.5,,591,5867,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0067,jll-D0067,"Office property — Düsseldorf, Friedrichstadt (D0067)",Friedrichstadt,40210,Düsseldorf,Nordrhein-Westfalen,13.5,14,,340,2050,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3342,jll-D3342,"Office property — Düsseldorf, Reisholz (D3342)",Reisholz,40599,Düsseldorf,Nordrhein-Westfalen,13,13,,379,1138,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0173,jll-D0173,"Office property — Düsseldorf, Rath (D0173)",Rath,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,,470,2538,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1613,jll-D1613,"Office property — Düsseldorf, Derendorf (D1613)",Derendorf,40476,Düsseldorf,Nordrhein-Westfalen,12,12,,390,1055,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3305,jll-D3305,"Office property — Düsseldorf, Golzheim (D3305)",Golzheim,40476,Düsseldorf,Nordrhein-Westfalen,11.5,12.5,,1740,1740,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1374,jll-D1374,"Office property — Düsseldorf, Heerdt (D1374)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,10,10,,450,1460,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1123,jll-D1123,"Office property — Düsseldorf, Unterrath (D1123)",Unterrath,40472,Düsseldorf,Nordrhein-Westfalen,14,14.5,,352,2728,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0170,jll-D0170,"Office property — Düsseldorf, Lörick (D0170)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,10,10,,211,6635,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0623,jll-D0623,"Office property — Düsseldorf, Reisholz (D0623)",Reisholz,40599,Düsseldorf,Nordrhein-Westfalen,12.5,13.5,,354,6666,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d1571,jll-D1571,"Office property — Düsseldorf, Lörick (D1571)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,12.5,13.5,,184,2329,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0033,jll-D0033,"Office property — Düsseldorf, Lichtenbroich (D0033)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,9.7,9.7,,278,2314,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0888,jll-D0888,"Office property — Düsseldorf, Heerdt (D0888)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,6.5,6.5,,375,3750,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0031,jll-D0031,"Office property — Düsseldorf, Mörsenbroich (D0031)",Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.5,11,,650,1300,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
